product_id,mean,median,std,min,max,iqr,cv,price_range,price_spread_ratio
039fb822-6fdc-4b7b-b9eb-ff9ba793760d,265.0,265.0,0.0,265.0,265.0,0.0,0.0,0.0,1.0
03a0c98d-24d7-4387-9ce5-bb7ce9a8d0aa,1345.0,1345.0,0.0,1345.0,1345.0,0.0,0.0,0.0,1.0
03a9ceb2-0848-4db2-92a5-b1fdb83372b5,8995.0,8995.0,0.0,8995.0,8995.0,0.0,0.0,0.0,1.0
03ae9dcd-dea9-4d0e-b87b-7818513bc6d4,10500.0,10500.0,0.0,10500.0,10500.0,0.0,0.0,0.0,1.0
03b1c7d2-fc12-4eb8-a92f-e4ecbce66ced,4810.0,4810.0,0.0,4810.0,4810.0,0.0,0.0,0.0,1.0
03bd9fa2-aefd-4133-868a-1e2061bbaa73,395.0,395.0,0.0,395.0,395.0,0.0,0.0,0.0,1.0
03c208b4-e6c0-4c3b-88af-9665811ee7ff,1095.0,1095.0,0.0,1095.0,1095.0,0.0,0.0,0.0,1.0
03c681ed-1e1f-413c-abb8-31575cea430e,15500.0,15500.0,0.0,15500.0,15500.0,0.0,0.0,0.0,1.0
03cd680e-065d-40af-9160-3547ab299133,1295.0,1295.0,0.0,1295.0,1295.0,0.0,0.0,0.0,1.0
03d079c9-14c0-4597-b7e3-91283bd9a62b,13900.0,13900.0,0.0,13900.0,13900.0,0.0,0.0,0.0,1.0
03d1713d-9060-4cc7-a4f6-8a71bed7f0db,11900.0,11900.0,0.0,11900.0,11900.0,0.0,0.0,0.0,1.0
03dabc27-6770-426c-8d69-07a862152d06,17900.0,17900.0,0.0,17900.0,17900.0,0.0,0.0,0.0,1.0
03db8052-4191-4182-abc0-6c04ce2e3171,13900.0,13900.0,0.0,13900.0,13900.0,0.0,0.0,0.0,1.0
03e3bc67-6bc3-43fb-93f6-561f206a619b,3995.0,3995.0,0.0,3995.0,3995.0,0.0,0.0,0.0,1.0
03ed62cb-d4ed-4f7a-b311-67567afb8caf,1795.0,1795.0,0.0,1795.0,1795.0,0.0,0.0,0.0,1.0
03edc6a5-2795-4db1-b539-a3e5003dc556,3399.0,3399.0,0.0,3399.0,3399.0,0.0,0.0,0.0,1.0
03f1e0e9-44c9-49b0-8714-304bc6ddccaa,545.0,545.0,0.0,545.0,545.0,0.0,0.0,0.0,1.0
03f33afb-cb5d-45cc-a21f-bcd2a6095ba0,2795.0,2795.0,0.0,2795.0,2795.0,0.0,0.0,0.0,1.0
03f3894d-2f91-4bdd-9e3e-4c656ba026b0,995.0,995.0,0.0,995.0,995.0,0.0,0.0,0.0,1.0
03f913cb-658d-4547-91a9-52baa996324a,2595.0,2595.0,0.0,2595.0,2595.0,0.0,0.0,0.0,1.0
040380dc-7d65-40f4-b8f4-dbfaea6b9080,775.0,775.0,0.0,775.0,775.0,0.0,0.0,0.0,1.0
040677a6-174b-4592-80d6-40373ffb6b92,4400.0,4400.0,0.0,4400.0,4400.0,0.0,0.0,0.0,1.0
0408515c-2f97-42a8-b542-9ff1800d3b6a,595.0,595.0,0.0,595.0,595.0,0.0,0.0,0.0,1.0
0415ef53-6bb6-4d9e-b278-380a19605ab9,14900.0,14900.0,0.0,14900.0,14900.0,0.0,0.0,0.0,1.0
042122ec-cc66-4acd-91e9-eae821c57148,15900.0,15900.0,0.0,15900.0,15900.0,0.0,0.0,0.0,1.0
042815de-5b4f-4a26-891b-95216d3222e4,55.0,55.0,0.0,55.0,55.0,0.0,0.0,0.0,1.0
042ec3c2-ce39-4eba-b49f-5a1034c4f526,8500.0,8500.0,0.0,8500.0,8500.0,0.0,0.0,0.0,1.0
0431c821-5735-49e7-965c-5cbe6c44f11c,895.0,895.0,0.0,895.0,895.0,0.0,0.0,0.0,1.0
0436d2c4-c684-4158-aa95-a55c320fd0ce,1195.0,1195.0,0.0,1195.0,1195.0,0.0,0.0,0.0,1.0
04429b32-96c1-4f02-9ed6-092307d8bb25,1250.0,1250.0,0.0,1250.0,1250.0,0.0,0.0,0.0,1.0
0443a0f7-e3b8-4f52-a420-1f9a0156974d,29900.0,29900.0,0.0,29900.0,29900.0,0.0,0.0,0.0,1.0
044b790b-c015-4e2f-94db-47953ea174ca,17900.0,17900.0,0.0,17900.0,17900.0,0.0,0.0,0.0,1.0
044e560d-c557-463e-b8a9-521fe21d64d1,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0
044f4196-2b9d-4152-931a-d4a0be3fd827,9400.0,9400.0,0.0,9400.0,9400.0,0.0,0.0,0.0,1.0
0452ae9c-264c-473b-a995-b3fbe2aac001,2500.0,2500.0,0.0,2500.0,2500.0,0.0,0.0,0.0,1.0
0454fed9-b97d-4217-824b-5cf181862831,115.0,115.0,0.0,115.0,115.0,0.0,0.0,0.0,1.0
045adbda-4f32-4459-b51f-3737d810bb51,10900.0,10900.0,0.0,10900.0,10900.0,0.0,0.0,0.0,1.0
045c6ead-0630-4cb3-97f5-c86a7843e07b,1885.0,1885.0,0.0,1885.0,1885.0,0.0,0.0,0.0,1.0
04663450-940a-4c85-aa7e-801e3dd55d12,140.0,140.0,0.0,140.0,140.0,0.0,0.0,0.0,1.0
046bc401-a6b2-405c-a9b7-3814454bc770,445.0,445.0,0.0,445.0,445.0,0.0,0.0,0.0,1.0
046e9324-fafe-4038-b2b9-1862a33473ff,4495.0,4495.0,0.0,4495.0,4495.0,0.0,0.0,0.0,1.0
047d8014-4a1f-440f-b7e0-dcb77f540a2e,17900.0,17900.0,0.0,17900.0,17900.0,0.0,0.0,0.0,1.0
047e626f-8cc9-4164-a049-46ec0bbf5f2d,1875.0,1875.0,0.0,1875.0,1875.0,0.0,0.0,0.0,1.0
047f7756-2804-44d2-899d-5de59fdb2a9e,10500.0,10500.0,0.0,10500.0,10500.0,0.0,0.0,0.0,1.0
